n_components,AMI_fandom,AMI_au,BIC
10,0.345263813379277,0.08036923184058643,-6647441.35885822
20,0.310826233402182,0.12178374525963236,-6779428.474163927
50,0.2860928280045301,0.12732911924434537,-6625508.107671626
100,0.2644117742656031,0.13007989784784055,-6103452.912059972
