n_components,AMI_fandom,AMI_au,BIC
10,0.7008256112497439,0.03503400456080439,-8179902.833688355
20,0.596795945029186,0.09005419595587097,-8287505.007363326
50,0.5006682472432188,0.10114036858872659,-8130893.883248769
100,0.44129296128273926,0.11607047650444516,-7616252.395360636
