n_components,AMI_fandom,AMI_au,BIC
10,0.11107033649819739,0.01762892426070065,-12924337.409596931
20,0.13469374095750114,0.019836173744797594,-12870026.684895286
50,0.146922906317411,0.020735679975735936,-12597676.394874524
100,0.1482448316033418,0.03497992965863742,-12022200.034429403
