n_components,AMI_fandom,AMI_au,BIC
10,0.39798037216474863,0.01595015648820209,-12808333.811294751
20,0.39176353466947395,0.02051071963079556,-12875618.345831828
50,0.38179851446162005,0.027356345476376068,-12638859.44389023
100,0.3743660200575328,0.02805547850012952,-12035758.798706325
